original_picture5,Red,Green,Blue,,Red2-4,Red2-5,Blue2-4,Blue2-5,,Red2-5ê≥ãKâª,Red2-4ê≥ãKâª,Blue2-5ê≥ãKâª,Blue2-4ê≥ãKâª
0,0,0,55,,26124,974,354,53,,974,26124,53,354
1,0,0,15,,4980,261,142,15,,0,0,15,0
2,0,0,13,,4916,283,179,21,,261,0,0,142
3,0,0,14,,4959,354,183,23,,0,4980,21,0
4,0,0,21,,4912,415,210,26,,283,0,0,179
5,0,0,18,,5112,476,253,27,,0,0,23,0
6,0,0,24,,5216,575,344,32,,0,4916,0,183
7,0,0,31,,5571,656,394,35,,354,0,26,0
8,0,0,48,,5926,748,470,34,,0,0,27,210
9,0,0,42,,6372,892,509,41,,415,4959,0,0
10,0,0,38,,6640,998,606,44,,0,0,32,253
11,0,0,47,,7070,1192,781,58,,476,0,0,0
12,0,0,50,,7558,1442,892,82,,0,4912,35,0
13,0,0,68,,7927,1533,1154,98,,0,0,0,344
14,0,0,79,,8486,1838,1398,104,,575,0,34,0
15,0,0,93,,8894,1962,1755,118,,0,5112,0,394
16,0,0,98,,9424,2330,2304,139,,656,0,41,0
17,0,0,103,,9965,2511,2878,145,,0,0,44,470
18,0,0,122,,10789,2801,3752,164,,0,0,0,0
19,0,0,117,,11744,3085,4758,169,,748,5216,58,509
20,0,0,148,,12725,3352,6035,201,,0,0,0,0
21,0,0,139,,14165,3536,7513,230,,892,0,82,606
22,0,0,171,,15897,3822,9634,245,,0,5571,0,0
23,0,0,186,,17999,4092,11258,278,,998,0,98,0
24,0,0,228,,20312,4309,13674,358,,0,0,0,781
25,0,0,208,,22379,4741,16221,398,,0,5926,104,0
26,0,0,230,,24688,4934,18835,500,,1192,0,118,892
27,0,0,272,,26911,5239,20773,489,,0,0,0,0
28,0,0,314,,28679,5473,23190,653,,1442,6372,139,1154
29,0,0,329,,29086,5943,24926,742,,0,0,0,0
30,0,0,399,,28804,6385,26351,871,,1533,0,145,1398
31,0,0,460,,27149,6920,27156,1028,,0,6640,0,0
32,0,0,521,,24808,7322,27332,1294,,0,0,164,1755
33,0,0,619,,21120,7547,26798,1579,,1838,0,0,0
34,0,0,756,,17315,8172,26002,2034,,0,0,169,0
35,0,0,870,,13936,8507,24819,2311,,1962,7070,201,2304
36,0,0,1117,,10595,9296,23300,2935,,0,0,0,0
37,0,0,1428,,7947,10008,21657,3674,,0,0,230,2878
38,0,0,1912,,5778,10662,20022,4363,,2330,7558,0,0
39,0,1,2371,,4319,11558,18258,5395,,0,0,245,3752
40,0,3,2900,,2995,12866,16655,6579,,2511,0,0,0
41,0,0,3584,,2204,14395,15437,7781,,0,7927,278,4758
42,0,1,4411,,1597,15994,13833,9288,,2801,0,0,0
43,0,0,5311,,1187,18314,12538,11124,,0,0,358,6035
44,0,2,6010,,914,20793,11593,12647,,0,8486,398,0
45,0,1,6927,,682,22858,10136,14462,,3085,0,0,0
46,0,1,7644,,596,25012,9171,16434,,0,0,500,7513
47,0,2,8446,,451,26676,7631,18100,,3352,8894,0,0
48,0,1,9290,,373,27590,6482,19469,,0,0,489,9634
49,0,2,10071,,307,27847,5504,20749,,0,0,0,0
50,0,0,10771,,238,27103,4531,21791,,3536,0,653,11258
51,0,3,11664,,223,25750,3806,22623,,0,9424,0,0
52,0,2,11886,,145,23547,3032,22966,,3822,0,742,13674
53,0,3,12947,,128,20285,2488,22988,,0,0,871,0
54,0,1,13069,,90,17372,1970,22612,,4092,9965,0,16221
55,0,3,13775,,77,14292,1565,22319,,0,0,1028,0
56,0,3,14330,,62,11375,1247,20997,,0,0,0,0
57,0,3,14979,,59,8987,1024,19739,,4309,10789,1294,18835
58,0,3,15394,,43,6999,785,18520,,0,0,0,0
59,0,5,15770,,37,5371,653,16785,,4741,0,1579,20773
60,0,3,16463,,23,4113,502,15648,,0,11744,0,0
61,0,5,16824,,22,3056,399,14353,,4934,0,2034,23190
62,1,2,17067,,15,2351,343,13287,,0,0,2311,0
63,0,2,17131,,11,1842,263,11953,,0,12725,0,24926
64,0,4,17294,,8,1457,209,11221,,5239,0,2935,0
65,3,2,16901,,4,1274,163,10488,,0,0,0,26351
66,1,3,16718,,6,939,137,9642,,5473,14165,3674,0
67,1,5,16138,,5,699,109,9262,,0,0,0,0
68,0,5,15087,,9,636,79,8496,,0,0,4363,27156
69,1,9,14817,,6,494,75,7911,,5943,0,0,0
70,2,12,13658,,1,438,52,7374,,0,15897,5395,27332
71,1,13,13284,,1,345,32,6749,,6385,0,6579,0
72,1,17,12421,,3,315,38,5848,,0,0,0,26798
73,0,22,11295,,1,218,30,5360,,6920,17999,7781,0
74,3,21,10580,,0,220,26,4773,,0,0,0,26002
75,0,29,9856,,1,178,24,4074,,0,0,9288,0
76,2,30,9207,,0,161,19,3569,,7322,20312,0,24819
77,4,32,8324,,0,107,12,3061,,0,0,11124,0
