Red,Green,Blue
0.0,0.0,8.0
0.0,0.0,9.0
0.0,0.0,47.0
0.0,0.0,47.0
0.0,0.0,13.0
0.0,0.0,41.0
0.0,0.0,70.0
0.0,0.0,237.0
0.0,0.0,356.0
0.0,0.0,369.0
0.0,3.0,169.0
0.0,34.0,161.0
0.0,179.0,326.0
0.0,140.0,312.0
0.0,220.0,248.0
0.0,163.0,240.0
79.0,128.0,229.0
168.0,77.0,250.0
157.0,54.0,216.0
160.0,51.0,325.0
157.0,91.0,332.0
116.0,120.0,385.0
94.0,82.0,358.0
86.0,84.0,381.0
57.0,113.0,362.0
50.0,119.0,423.0
63.0,96.0,402.0
73.0,36.0,433.0
29.0,32.0,393.0
59.0,24.0,567.0
75.0,14.0,605.0
59.0,36.0,708.0
81.0,79.0,795.0
128.0,70.0,786.0
87.0,114.0,1125.0
54.0,99.0,1135.0
65.0,130.0,1282.0
58.0,126.0,1669.0
48.0,164.0,2192.0
25.0,98.0,2725.0
18.0,86.0,3690.0
12.0,69.0,4664.0
24.0,90.0,5963.0
40.0,65.0,6546.0
49.0,39.0,7081.0
70.0,20.0,8345.0
69.0,13.0,9072.0
103.0,15.0,9518.0
82.0,12.0,11603.0
83.0,15.0,11203.0
90.0,5.0,11520.0
94.0,7.0,12772.0
64.0,6.0,13434.0
106.0,33.0,13584.0
101.0,24.0,13374.0
59.0,22.0,14930.0
63.0,27.0,15645.0
39.0,20.0,15917.0
28.0,37.0,16016.0
25.0,35.0,16974.0
30.0,51.0,17082.0
30.0,55.0,17857.0
28.0,45.0,18321.0
12.0,64.0,17695.0
27.0,53.0,19230.0
24.0,73.0,17282.0
8.0,56.0,16272.0
8.0,34.0,15435.0
5.0,51.0,14482.0
21.0,40.0,14020.0
14.0,47.0,13108.0
23.0,41.0,12558.0
10.0,41.0,10561.0
7.0,44.0,9968.0
13.0,40.0,8936.0
17.0,33.0,8637.0
23.0,32.0,7759.0
14.0,70.0,6859.0
11.0,57.0,6740.0
22.0,103.0,6283.0
40.0,65.0,6301.0
29.0,38.0,5230.0
43.0,95.0,4671.0
41.0,60.0,4275.0
29.0,80.0,4032.0
34.0,70.0,3346.0
36.0,118.0,3005.0
25.0,121.0,2747.0
50.0,139.0,2772.0
37.0,166.0,2041.0
49.0,270.0,1804.0
53.0,267.0,1708.0
55.0,409.0,1462.0
68.0,460.0,1150.0
42.0,557.0,960.0
31.0,720.0,801.0
47.0,877.0,681.0
25.0,901.0,616.0
18.0,1095.0,435.0
18.0,1044.0,402.0
11.0,1196.0,378.0
23.0,1312.0,300.0
21.0,1481.0,254.0
12.0,1663.0,130.0
26.0,1773.0,166.0
28.0,2087.0,108.0
15.0,2120.0,93.0
34.0,2445.0,60.0
32.0,2874.0,40.0
26.0,2889.0,68.0
22.0,3276.0,27.0
32.0,3326.0,25.0
32.0,3932.0,11.0
33.0,3917.0,14.0
62.0,4435.0,6.0
46.0,4592.0,4.0
54.0,5156.0,1.0
43.0,5393.0,9.0
38.0,5817.0,0.0
40.0,5972.0,0.0
50.0,6065.0,1.0
68.0,6457.0,0.0
82.0,6364.0,0.0
86.0,6820.0,3.0
80.0,7094.0,0.0
76.0,7337.0,0.0
106.0,7744.0,0.0
120.0,8934.0,0.0
135.0,7918.0,0.0
179.0,8314.0,0.0
125.0,8146.0,0.0
259.0,8596.0,0.0
295.0,8324.0,0.0
259.0,8492.0,0.0
239.0,8417.0,0.0
259.0,8620.0,0.0
219.0,8530.0,0.0
337.0,8360.0,0.0
402.0,9137.0,0.0
466.0,8861.0,0.0
595.0,9488.0,0.0
590.0,9318.0,0.0
576.0,9751.0,0.0
709.0,10941.0,0.0
701.0,9841.0,0.0
811.0,10523.0,0.0
820.0,10670.0,0.0
779.0,10590.0,0.0
980.0,10070.0,0.0
970.0,9748.0,0.0
885.0,9961.0,0.0
933.0,10459.0,0.0
1215.0,10488.0,0.0
1256.0,10570.0,0.0
1330.0,10512.0,0.0
1369.0,9979.0,0.0
1524.0,9401.0,0.0
1621.0,9169.0,0.0
1703.0,8624.0,0.0
2220.0,8658.0,0.0
2024.0,7179.0,0.0
2067.0,6891.0,0.0
2323.0,6221.0,0.0
2345.0,6114.0,0.0
2791.0,5466.0,0.0
2878.0,5141.0,0.0
2807.0,5204.0,0.0
2971.0,4865.0,0.0
3328.0,4896.0,0.0
3485.0,4680.0,0.0
3506.0,4123.0,0.0
3746.0,4282.0,0.0
4327.0,4031.0,0.0
4601.0,3669.0,0.0
4978.0,3580.0,0.0
5747.0,3775.0,0.0
5543.0,3391.0,0.0
5900.0,3101.0,0.0
6240.0,3101.0,0.0
6487.0,2831.0,0.0
6948.0,2748.0,0.0
7184.0,2508.0,0.0
7351.0,1963.0,0.0
7755.0,2113.0,0.0
7774.0,1903.0,0.0
7905.0,1635.0,0.0
7494.0,1534.0,0.0
7824.0,1402.0,0.0
7429.0,1299.0,0.0
7687.0,1201.0,0.0
8094.0,978.0,0.0
9054.0,926.0,0.0
8498.0,791.0,0.0
8916.0,647.0,0.0
9224.0,506.0,0.0
10008.0,463.0,0.0
10397.0,247.0,0.0
10768.0,313.0,0.0
12012.0,224.0,0.0
11551.0,200.0,0.0
12019.0,183.0,0.0
11991.0,95.0,0.0
11730.0,137.0,0.0
11931.0,70.0,0.0
11176.0,111.0,0.0
11980.0,77.0,0.0
11827.0,16.0,0.0
13187.0,11.0,0.0
11841.0,2.0,0.0
11069.0,6.0,0.0
10424.0,1.0,0.0
9792.0,7.0,0.0
9306.0,1.0,0.0
8345.0,0.0,0.0
8098.0,0.0,0.0
7631.0,0.0,0.0
7233.0,0.0,0.0
6886.0,0.0,0.0
6520.0,0.0,0.0
6179.0,0.0,0.0
6041.0,0.0,0.0
5761.0,0.0,0.0
5391.0,0.0,0.0
5236.0,0.0,0.0
4305.0,0.0,0.0
4211.0,0.0,0.0
