Red,Green,Blue
0.0,0.0,9.0
0.0,0.0,2.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,4.0
0.0,0.0,4.0
0.0,0.0,3.0
0.0,0.0,7.0
0.0,0.0,6.0
0.0,0.0,7.0
0.0,0.0,9.0
0.0,0.0,9.0
0.0,0.0,11.0
0.0,0.0,9.0
0.0,0.0,10.0
0.0,0.0,18.0
0.0,0.0,20.0
0.0,0.0,13.0
0.0,0.0,18.0
0.0,0.0,23.0
0.0,0.0,20.0
0.0,0.0,20.0
0.0,0.0,30.0
0.0,0.0,28.0
0.0,0.0,45.0
0.0,0.0,36.0
0.0,0.0,42.0
0.0,0.0,51.0
0.0,0.0,57.0
0.0,0.0,51.0
0.0,0.0,70.0
0.0,0.0,66.0
0.0,0.0,75.0
0.0,0.0,82.0
0.0,0.0,112.0
0.0,0.0,101.0
0.0,0.0,81.0
0.0,0.0,111.0
0.0,0.0,137.0
0.0,0.0,158.0
0.0,0.0,162.0
0.0,0.0,170.0
0.0,0.0,170.0
0.0,0.0,183.0
0.0,0.0,221.0
0.0,0.0,213.0
0.0,0.0,215.0
0.0,0.0,255.0
0.0,0.0,267.0
0.0,0.0,305.0
0.0,0.0,328.0
0.0,0.0,322.0
0.0,0.0,347.0
0.0,0.0,387.0
0.0,0.0,443.0
0.0,0.0,457.0
0.0,0.0,557.0
0.0,0.0,615.0
0.0,0.0,745.0
0.0,0.0,842.0
0.0,0.0,996.0
0.0,0.0,1204.0
0.0,0.0,1329.0
0.0,0.0,1556.0
0.0,0.0,1644.0
0.0,0.0,1759.0
0.0,0.0,1846.0
0.0,0.0,1879.0
0.0,0.0,1770.0
0.0,0.0,1867.0
0.0,0.0,1661.0
0.0,0.0,1525.0
0.0,0.0,1437.0
0.0,0.0,1259.0
0.0,0.0,1143.0
0.0,0.0,990.0
0.0,0.0,881.0
0.0,0.0,745.0
0.0,0.0,647.0
0.0,0.0,547.0
0.0,1.0,508.0
0.0,0.0,434.0
0.0,1.0,393.0
0.0,2.0,395.0
0.0,1.0,299.0
0.0,0.0,286.0
0.0,3.0,296.0
0.0,6.0,261.0
0.0,4.0,231.0
0.0,2.0,192.0
0.0,5.0,200.0
0.0,5.0,171.0
0.0,7.0,138.0
0.0,3.0,114.0
0.0,9.0,134.0
0.0,5.0,112.0
0.0,15.0,81.0
0.0,17.0,59.0
0.0,16.0,58.0
0.0,11.0,54.0
0.0,16.0,39.0
0.0,14.0,19.0
0.0,24.0,23.0
0.0,17.0,12.0
0.0,32.0,19.0
0.0,25.0,8.0
0.0,26.0,10.0
0.0,22.0,5.0
0.0,38.0,0.0
0.0,34.0,0.0
0.0,51.0,1.0
0.0,50.0,2.0
0.0,61.0,0.0
0.0,65.0,0.0
0.0,50.0,0.0
0.0,78.0,0.0
0.0,63.0,0.0
0.0,84.0,0.0
0.0,102.0,0.0
0.0,94.0,0.0
0.0,119.0,0.0
0.0,141.0,0.0
0.0,134.0,0.0
0.0,157.0,0.0
0.0,151.0,0.0
0.0,180.0,0.0
0.0,153.0,0.0
0.0,174.0,0.0
0.0,187.0,0.0
0.0,188.0,0.0
0.0,187.0,0.0
0.0,214.0,0.0
0.0,269.0,0.0
0.0,270.0,0.0
0.0,251.0,0.0
0.0,284.0,0.0
0.0,309.0,0.0
0.0,372.0,0.0
0.0,411.0,0.0
1.0,466.0,0.0
1.0,589.0,0.0
1.0,648.0,0.0
0.0,733.0,0.0
0.0,813.0,0.0
0.0,871.0,0.0
2.0,918.0,0.0
1.0,1040.0,0.0
1.0,1066.0,0.0
4.0,1194.0,0.0
2.0,1315.0,0.0
2.0,1409.0,0.0
8.0,1484.0,0.0
5.0,1587.0,0.0
6.0,1574.0,0.0
3.0,1562.0,0.0
7.0,1485.0,0.0
9.0,1370.0,0.0
10.0,1294.0,0.0
13.0,1155.0,0.0
16.0,1066.0,0.0
14.0,928.0,0.0
17.0,891.0,0.0
24.0,752.0,0.0
21.0,625.0,0.0
25.0,585.0,0.0
29.0,503.0,0.0
27.0,422.0,0.0
37.0,452.0,0.0
21.0,384.0,0.0
49.0,339.0,0.0
41.0,347.0,0.0
52.0,363.0,0.0
67.0,326.0,0.0
53.0,312.0,0.0
75.0,306.0,0.0
64.0,320.0,0.0
85.0,253.0,0.0
76.0,272.0,0.0
109.0,262.0,0.0
113.0,213.0,0.0
143.0,216.0,0.0
143.0,226.0,0.0
151.0,209.0,0.0
170.0,183.0,0.0
170.0,190.0,0.0
168.0,170.0,0.0
197.0,162.0,0.0
211.0,175.0,0.0
228.0,115.0,0.0
264.0,110.0,0.0
283.0,99.0,0.0
301.0,82.0,0.0
357.0,65.0,0.0
445.0,81.0,0.0
453.0,43.0,0.0
556.0,37.0,0.0
649.0,33.0,0.0
734.0,20.0,0.0
837.0,20.0,0.0
907.0,22.0,0.0
1027.0,17.0,0.0
1153.0,6.0,0.0
1189.0,7.0,0.0
1310.0,3.0,0.0
1395.0,3.0,0.0
1563.0,0.0,0.0
1655.0,0.0,0.0
1772.0,0.0,0.0
1741.0,2.0,0.0
1689.0,0.0,0.0
1575.0,0.0,0.0
1434.0,0.0,0.0
1378.0,0.0,0.0
1155.0,0.0,0.0
1081.0,0.0,0.0
998.0,0.0,0.0
855.0,0.0,0.0
711.0,0.0,0.0
632.0,0.0,0.0
552.0,0.0,0.0
536.0,0.0,0.0
511.0,0.0,0.0
428.0,0.0,0.0
397.0,0.0,0.0
421.0,0.0,0.0
391.0,0.0,0.0
365.0,0.0,0.0
342.0,0.0,0.0
304.0,0.0,0.0
303.0,0.0,0.0
304.0,0.0,0.0
247.0,0.0,0.0
225.0,0.0,0.0
222.0,0.0,0.0
236.0,0.0,0.0
215.0,0.0,0.0
202.0,0.0,0.0
178.0,0.0,0.0
137.0,0.0,0.0
141.0,0.0,0.0
111.0,0.0,0.0
84.0,0.0,0.0
80.0,0.0,0.0
73.0,0.0,0.0
44.0,0.0,0.0
38.0,0.0,0.0
29.0,0.0,0.0
27.0,0.0,0.0
22.0,0.0,0.0
21.0,0.0,0.0
14.0,0.0,0.0
8.0,0.0,0.0
9.0,0.0,0.0
4.0,0.0,0.0
4.0,0.0,0.0
4.0,0.0,0.0
