Red,Green,Blue
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,2.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,2.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,1.0
0.0,0.0,6.0
0.0,0.0,9.0
0.0,0.0,7.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,7.0
0.0,0.0,11.0
0.0,0.0,17.0
0.0,0.0,12.0
0.0,0.0,21.0
0.0,0.0,17.0
0.0,0.0,25.0
0.0,0.0,27.0
0.0,0.0,32.0
0.0,0.0,29.0
0.0,0.0,28.0
0.0,0.0,45.0
0.0,0.0,32.0
0.0,0.0,47.0
0.0,0.0,42.0
0.0,0.0,49.0
0.0,0.0,58.0
0.0,0.0,50.0
0.0,0.0,56.0
0.0,0.0,74.0
0.0,0.0,67.0
0.0,0.0,57.0
0.0,0.0,60.0
0.0,0.0,69.0
0.0,0.0,89.0
0.0,0.0,90.0
0.0,0.0,98.0
0.0,0.0,101.0
0.0,0.0,121.0
0.0,0.0,108.0
0.0,0.0,104.0
0.0,0.0,108.0
0.0,0.0,121.0
0.0,0.0,97.0
0.0,0.0,136.0
0.0,0.0,127.0
0.0,0.0,143.0
0.0,0.0,140.0
0.0,0.0,164.0
0.0,0.0,185.0
0.0,0.0,169.0
0.0,0.0,174.0
0.0,0.0,181.0
0.0,0.0,178.0
0.0,0.0,213.0
0.0,0.0,202.0
0.0,0.0,240.0
0.0,0.0,207.0
0.0,0.0,255.0
0.0,0.0,258.0
0.0,0.0,273.0
0.0,0.0,309.0
0.0,0.0,338.0
0.0,0.0,389.0
0.0,0.0,448.0
0.0,0.0,452.0
0.0,0.0,474.0
0.0,0.0,591.0
0.0,0.0,637.0
0.0,0.0,679.0
0.0,0.0,629.0
0.0,1.0,602.0
0.0,0.0,606.0
0.0,0.0,561.0
0.0,0.0,502.0
0.0,0.0,530.0
0.0,2.0,484.0
0.0,0.0,420.0
0.0,1.0,337.0
0.0,1.0,393.0
0.0,1.0,333.0
0.0,1.0,287.0
0.0,3.0,259.0
0.0,1.0,219.0
0.0,1.0,192.0
0.0,3.0,175.0
0.0,6.0,190.0
0.0,8.0,179.0
0.0,7.0,162.0
0.0,9.0,151.0
0.0,7.0,198.0
0.0,13.0,177.0
0.0,19.0,173.0
0.0,17.0,179.0
0.0,18.0,182.0
0.0,21.0,168.0
0.0,14.0,172.0
0.0,32.0,169.0
0.0,22.0,160.0
0.0,23.0,160.0
0.0,29.0,137.0
0.0,30.0,150.0
0.0,32.0,163.0
0.0,41.0,152.0
0.0,42.0,146.0
0.0,54.0,131.0
0.0,60.0,115.0
0.0,60.0,108.0
0.0,53.0,96.0
0.0,54.0,59.0
0.0,63.0,75.0
0.0,79.0,43.0
0.0,70.0,27.0
0.0,82.0,23.0
0.0,88.0,13.0
0.0,91.0,10.0
0.0,81.0,4.0
0.0,85.0,5.0
0.0,81.0,3.0
0.0,101.0,2.0
0.0,118.0,4.0
0.0,101.0,1.0
0.0,128.0,1.0
0.0,136.0,0.0
0.0,129.0,1.0
0.0,143.0,2.0
0.0,136.0,2.0
0.0,157.0,0.0
0.0,199.0,0.0
0.0,167.0,0.0
0.0,162.0,0.0
0.0,217.0,0.0
0.0,207.0,0.0
1.0,208.0,0.0
0.0,226.0,0.0
0.0,264.0,0.0
0.0,271.0,0.0
0.0,252.0,0.0
0.0,280.0,0.0
2.0,307.0,0.0
0.0,341.0,0.0
2.0,354.0,0.0
1.0,414.0,0.0
2.0,444.0,0.0
2.0,489.0,0.0
5.0,535.0,0.0
3.0,551.0,0.0
4.0,617.0,0.0
10.0,705.0,0.0
9.0,689.0,0.0
10.0,674.0,0.0
9.0,681.0,0.0
20.0,675.0,0.0
17.0,571.0,0.0
23.0,510.0,0.0
24.0,489.0,0.0
22.0,410.0,0.0
21.0,399.0,0.0
38.0,382.0,0.0
36.0,310.0,0.0
29.0,315.0,0.0
30.0,246.0,0.0
40.0,233.0,0.0
52.0,266.0,0.0
52.0,242.0,0.0
51.0,238.0,0.0
58.0,238.0,0.0
81.0,209.0,0.0
68.0,200.0,0.0
84.0,192.0,0.0
91.0,165.0,0.0
86.0,148.0,0.0
93.0,147.0,0.0
73.0,159.0,0.0
103.0,175.0,0.0
119.0,163.0,0.0
113.0,167.0,0.0
113.0,156.0,0.0
122.0,134.0,0.0
112.0,124.0,0.0
120.0,93.0,0.0
152.0,107.0,0.0
162.0,76.0,0.0
141.0,71.0,0.0
175.0,49.0,0.0
189.0,35.0,0.0
214.0,30.0,0.0
227.0,23.0,0.0
225.0,14.0,0.0
251.0,15.0,0.0
279.0,5.0,0.0
349.0,3.0,0.0
347.0,2.0,0.0
385.0,0.0,0.0
424.0,0.0,0.0
466.0,2.0,0.0
545.0,3.0,0.0
636.0,0.0,0.0
784.0,0.0,0.0
1014.0,0.0,0.0
1112.0,0.0,0.0
1350.0,0.0,0.0
8622.0,0.0,0.0
