Red,Green,Blue
26124.0,430.0,354.0
4980.0,169.0,142.0
4916.0,236.0,179.0
4959.0,283.0,183.0
4912.0,315.0,210.0
5112.0,399.0,253.0
5216.0,454.0,344.0
5571.0,559.0,394.0
5926.0,660.0,470.0
6372.0,748.0,509.0
6640.0,904.0,606.0
7070.0,1069.0,781.0
7558.0,1254.0,892.0
7927.0,1517.0,1154.0
8486.0,1805.0,1398.0
8894.0,2141.0,1755.0
9424.0,2627.0,2304.0
9965.0,3338.0,2878.0
10789.0,4135.0,3752.0
11744.0,5339.0,4758.0
12725.0,6986.0,6035.0
14165.0,9001.0,7513.0
15897.0,11899.0,9634.0
17999.0,15396.0,11258.0
20312.0,19802.0,13674.0
22379.0,24617.0,16221.0
24688.0,29797.0,18835.0
26911.0,34499.0,20773.0
28679.0,38217.0,23190.0
29086.0,40499.0,24926.0
28804.0,41436.0,26351.0
27149.0,40092.0,27156.0
24808.0,37218.0,27332.0
21120.0,33665.0,26798.0
17315.0,29108.0,26002.0
13936.0,23881.0,24819.0
10595.0,19579.0,23300.0
7947.0,15184.0,21657.0
5778.0,11979.0,20022.0
4319.0,8921.0,18258.0
2995.0,6647.0,16655.0
2204.0,5131.0,15437.0
1597.0,3933.0,13833.0
1187.0,2949.0,12538.0
914.0,2280.0,11593.0
682.0,1729.0,10136.0
596.0,1358.0,9171.0
451.0,1119.0,7631.0
373.0,868.0,6482.0
307.0,705.0,5504.0
238.0,579.0,4531.0
223.0,454.0,3806.0
145.0,382.0,3032.0
128.0,308.0,2488.0
90.0,224.0,1970.0
77.0,190.0,1565.0
62.0,137.0,1247.0
59.0,129.0,1024.0
43.0,84.0,785.0
37.0,79.0,653.0
23.0,63.0,502.0
22.0,45.0,399.0
15.0,45.0,343.0
11.0,22.0,263.0
8.0,23.0,209.0
4.0,21.0,163.0
6.0,12.0,137.0
5.0,8.0,109.0
9.0,7.0,79.0
6.0,2.0,75.0
1.0,7.0,52.0
1.0,3.0,32.0
3.0,4.0,38.0
1.0,3.0,30.0
0.0,2.0,26.0
1.0,1.0,24.0
0.0,1.0,19.0
0.0,4.0,12.0
0.0,1.0,9.0
0.0,0.0,11.0
1.0,2.0,2.0
0.0,1.0,11.0
0.0,0.0,6.0
0.0,1.0,5.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,1.0,0.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
