Red,Green,Blue
974.0,160.0,53.0
0.0,0.0,15.0
261.0,32.0,0.0
0.0,0.0,21.0
283.0,33.0,0.0
0.0,0.0,23.0
0.0,55.0,0.0
354.0,0.0,26.0
0.0,43.0,27.0
415.0,0.0,0.0
0.0,60.0,32.0
476.0,0.0,0.0
0.0,63.0,35.0
0.0,0.0,0.0
575.0,82.0,34.0
0.0,0.0,0.0
656.0,94.0,41.0
0.0,0.0,44.0
0.0,104.0,0.0
748.0,0.0,58.0
0.0,0.0,0.0
892.0,97.0,82.0
0.0,0.0,0.0
998.0,118.0,98.0
0.0,0.0,0.0
0.0,128.0,104.0
1192.0,0.0,118.0
0.0,177.0,0.0
1442.0,0.0,139.0
0.0,187.0,0.0
1533.0,0.0,145.0
0.0,213.0,0.0
0.0,0.0,164.0
1838.0,245.0,0.0
0.0,0.0,169.0
1962.0,261.0,201.0
0.0,0.0,0.0
0.0,308.0,230.0
2330.0,0.0,0.0
0.0,0.0,245.0
2511.0,361.0,0.0
0.0,0.0,278.0
2801.0,403.0,0.0
0.0,0.0,358.0
0.0,454.0,398.0
3085.0,0.0,0.0
0.0,503.0,500.0
3352.0,0.0,0.0
0.0,604.0,489.0
0.0,0.0,0.0
3536.0,716.0,653.0
0.0,0.0,0.0
3822.0,780.0,742.0
0.0,0.0,871.0
4092.0,936.0,0.0
0.0,0.0,1028.0
0.0,1030.0,0.0
4309.0,0.0,1294.0
0.0,0.0,0.0
4741.0,1231.0,1579.0
0.0,0.0,0.0
4934.0,1329.0,2034.0
0.0,0.0,2311.0
0.0,1591.0,0.0
5239.0,0.0,2935.0
0.0,1840.0,0.0
5473.0,0.0,3674.0
0.0,2117.0,0.0
0.0,0.0,4363.0
5943.0,2609.0,0.0
0.0,0.0,5395.0
6385.0,3064.0,6579.0
0.0,0.0,0.0
6920.0,3674.0,7781.0
0.0,0.0,0.0
0.0,4398.0,9288.0
7322.0,0.0,0.0
0.0,5576.0,11124.0
7547.0,0.0,0.0
0.0,0.0,12647.0
0.0,6915.0,14462.0
8172.0,0.0,0.0
0.0,8722.0,16434.0
8507.0,0.0,0.0
0.0,10869.0,18100.0
9296.0,0.0,0.0
0.0,13569.0,19469.0
0.0,0.0,20749.0
10008.0,16792.0,0.0
0.0,0.0,21791.0
10662.0,20689.0,0.0
0.0,0.0,22623.0
11558.0,24657.0,0.0
0.0,0.0,22966.0
0.0,28692.0,0.0
12866.0,0.0,22988.0
