Red,Green,Blue
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,0.0
0.0,0.0,2.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,5.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,2.0
0.0,0.0,1.0
0.0,0.0,3.0
0.0,0.0,4.0
0.0,0.0,5.0
0.0,0.0,6.0
0.0,0.0,6.0
0.0,0.0,5.0
0.0,0.0,8.0
0.0,0.0,5.0
0.0,0.0,15.0
0.0,0.0,14.0
0.0,0.0,5.0
0.0,0.0,11.0
0.0,0.0,17.0
0.0,0.0,16.0
0.0,0.0,20.0
0.0,0.0,24.0
0.0,0.0,15.0
0.0,0.0,30.0
0.0,0.0,19.0
0.0,0.0,23.0
0.0,0.0,26.0
0.0,0.0,53.0
0.0,0.0,59.0
0.0,0.0,56.0
0.0,0.0,54.0
0.0,0.0,51.0
0.0,0.0,70.0
0.0,0.0,80.0
0.0,0.0,92.0
0.0,0.0,90.0
0.0,0.0,123.0
0.0,0.0,131.0
0.0,0.0,144.0
0.0,0.0,178.0
0.0,0.0,167.0
0.0,0.0,201.0
0.0,0.0,232.0
0.0,0.0,279.0
0.0,0.0,277.0
0.0,0.0,352.0
0.0,0.0,427.0
0.0,0.0,510.0
0.0,0.0,634.0
0.0,0.0,689.0
0.0,0.0,812.0
0.0,0.0,1069.0
0.0,1.0,1332.0
0.0,2.0,1600.0
0.0,4.0,1958.0
0.0,5.0,2456.0
0.0,5.0,2984.0
0.0,3.0,3381.0
0.0,7.0,3934.0
0.0,5.0,4466.0
0.0,2.0,4853.0
0.0,7.0,5332.0
0.0,4.0,5743.0
0.0,4.0,6137.0
0.0,6.0,6601.0
0.0,15.0,6984.0
0.0,9.0,7336.0
0.0,17.0,7611.0
0.0,9.0,7843.0
0.0,7.0,8024.0
0.0,5.0,8421.0
0.0,14.0,8578.0
0.0,4.0,8652.0
0.0,7.0,8380.0
0.0,8.0,8651.0
0.0,7.0,8952.0
0.0,14.0,9123.0
0.0,13.0,9530.0
0.0,23.0,9591.0
0.0,19.0,10263.0
0.0,18.0,10414.0
0.0,18.0,10813.0
0.0,18.0,11102.0
0.0,16.0,11823.0
0.0,16.0,11667.0
0.0,21.0,12010.0
0.0,18.0,11922.0
0.0,27.0,11894.0
1.0,29.0,11607.0
0.0,15.0,11700.0
0.0,37.0,11500.0
1.0,39.0,11340.0
2.0,44.0,11095.0
1.0,46.0,10764.0
3.0,32.0,10310.0
3.0,43.0,10019.0
3.0,56.0,9452.0
6.0,45.0,9155.0
7.0,50.0,8443.0
5.0,61.0,7802.0
5.0,91.0,7281.0
9.0,63.0,7039.0
5.0,90.0,6542.0
7.0,134.0,6172.0
13.0,155.0,5886.0
10.0,176.0,5609.0
13.0,220.0,5254.0
7.0,219.0,5081.0
8.0,261.0,4848.0
8.0,324.0,4690.0
5.0,404.0,4538.0
10.0,467.0,4352.0
5.0,654.0,4300.0
7.0,693.0,4199.0
17.0,789.0,4252.0
6.0,884.0,4260.0
13.0,984.0,4343.0
12.0,1153.0,4261.0
14.0,1172.0,4196.0
12.0,1295.0,4022.0
16.0,1455.0,3857.0
16.0,1590.0,3777.0
10.0,1796.0,3589.0
16.0,1926.0,3408.0
23.0,2100.0,3277.0
19.0,2144.0,3186.0
17.0,2393.0,3096.0
15.0,2477.0,3031.0
16.0,2687.0,2715.0
24.0,2814.0,2601.0
13.0,3002.0,2268.0
31.0,3220.0,2005.0
20.0,3381.0,1763.0
28.0,3597.0,1481.0
28.0,3914.0,1229.0
32.0,4119.0,1044.0
35.0,4415.0,952.0
39.0,4602.0,842.0
28.0,4886.0,693.0
40.0,5166.0,626.0
19.0,5200.0,486.0
46.0,5564.0,505.0
44.0,5937.0,443.0
59.0,6141.0,343.0
46.0,6482.0,227.0
55.0,6813.0,246.0
58.0,7406.0,145.0
78.0,7852.0,123.0
74.0,7773.0,96.0
74.0,8379.0,67.0
93.0,8283.0,34.0
94.0,8481.0,26.0
100.0,8296.0,19.0
119.0,8516.0,9.0
118.0,8295.0,12.0
127.0,8434.0,5.0
148.0,8354.0,14.0
173.0,8590.0,6.0
214.0,8835.0,3.0
226.0,9182.0,4.0
303.0,9475.0,6.0
323.0,9577.0,3.0
389.0,9997.0,3.0
459.0,10061.0,1.0
524.0,10297.0,1.0
560.0,10484.0,0.0
639.0,10554.0,0.0
714.0,10958.0,0.0
844.0,11060.0,0.0
910.0,11367.0,0.0
937.0,11596.0,0.0
1013.0,11521.0,0.0
1212.0,11310.0,0.0
1301.0,10986.0,0.0
1387.0,10372.0,0.0
1580.0,9826.0,0.0
1655.0,9113.0,0.0
1742.0,8736.0,0.0
1775.0,8141.0,0.0
2025.0,7556.0,0.0
2088.0,7185.0,0.0
2280.0,6543.0,0.0
2394.0,6455.0,0.0
2711.0,5852.0,0.0
2818.0,5467.0,0.0
3050.0,5534.0,0.0
3205.0,5592.0,0.0
3454.0,5486.0,0.0
3588.0,5447.0,0.0
4073.0,5223.0,0.0
4178.0,5208.0,0.0
4495.0,4725.0,0.0
4656.0,4324.0,0.0
4896.0,3957.0,0.0
5132.0,3816.0,0.0
5478.0,3665.0,0.0
5618.0,3574.0,0.0
5893.0,3452.0,0.0
6162.0,3277.0,0.0
6510.0,3039.0,0.0
6988.0,2883.0,0.0
6996.0,2767.0,0.0
7431.0,2365.0,0.0
7980.0,2250.0,0.0
7969.0,2045.0,0.0
8172.0,1820.0,0.0
8292.0,1594.0,0.0
8063.0,1393.0,0.0
7904.0,1187.0,0.0
7974.0,1006.0,0.0
7909.0,850.0,0.0
7958.0,740.0,0.0
8297.0,585.0,0.0
8847.0,574.0,0.0
9399.0,557.0,0.0
10187.0,399.0,0.0
11162.0,267.0,0.0
12172.0,143.0,0.0
13641.0,99.0,0.0
15576.0,56.0,0.0
17970.0,36.0,0.0
21099.0,23.0,0.0
25426.0,10.0,0.0
29290.0,5.0,0.0
167749.0,9.0,0.0
