Red,Green,Blue
0.0,0.0,8.0
0.0,0.0,3.0
0.0,0.0,11.0
0.0,0.0,12.0
0.0,0.0,10.0
0.0,0.0,19.0
0.0,0.0,24.0
0.0,0.0,70.0
0.0,0.0,118.0
0.0,0.0,135.0
0.0,1.0,85.0
0.0,9.0,87.0
0.0,42.0,142.0
0.0,43.0,162.0
0.0,58.0,150.0
0.0,56.0,143.0
15.0,42.0,133.0
42.0,25.0,144.0
40.0,21.0,152.0
36.0,26.0,195.0
44.0,37.0,202.0
43.0,50.0,258.0
29.0,42.0,248.0
27.0,45.0,265.0
21.0,73.0,257.0
18.0,64.0,282.0
22.0,54.0,264.0
30.0,32.0,291.0
19.0,29.0,270.0
26.0,16.0,376.0
28.0,14.0,395.0
27.0,22.0,469.0
41.0,48.0,505.0
56.0,49.0,553.0
38.0,62.0,723.0
27.0,70.0,794.0
33.0,111.0,964.0
35.0,97.0,1227.0
30.0,113.0,1555.0
17.0,91.0,2059.0
12.0,84.0,2645.0
12.0,69.0,3408.0
23.0,61.0,4363.0
26.0,55.0,5228.0
32.0,37.0,5855.0
39.0,27.0,6936.0
38.0,16.0,7779.0
61.0,22.0,8613.0
55.0,17.0,9994.0
64.0,21.0,10238.0
67.0,13.0,10638.0
70.0,14.0,11525.0
67.0,12.0,12295.0
82.0,38.0,12660.0
78.0,28.0,12890.0
54.0,35.0,13851.0
49.0,41.0,14374.0
38.0,31.0,14983.0
37.0,50.0,15239.0
35.0,45.0,16088.0
32.0,58.0,16544.0
21.0,62.0,17239.0
24.0,60.0,17745.0
12.0,65.0,17645.0
20.0,70.0,18562.0
16.0,78.0,17481.0
14.0,65.0,16831.0
12.0,50.0,16282.0
14.0,62.0,15518.0
18.0,51.0,14856.0
17.0,46.0,14118.0
19.0,45.0,13526.0
20.0,54.0,12203.0
17.0,64.0,11455.0
21.0,53.0,10439.0
20.0,53.0,9643.0
26.0,49.0,9036.0
24.0,55.0,8311.0
21.0,51.0,7787.0
22.0,66.0,7268.0
46.0,57.0,7094.0
37.0,49.0,6291.0
43.0,64.0,5804.0
46.0,55.0,5205.0
42.0,79.0,4889.0
43.0,69.0,4341.0
45.0,94.0,3918.0
42.0,119.0,3554.0
62.0,123.0,3429.0
50.0,146.0,2914.0
56.0,192.0,2686.0
56.0,216.0,2315.0
62.0,281.0,2001.0
62.0,358.0,1729.0
46.0,430.0,1493.0
46.0,555.0,1320.0
44.0,691.0,1181.0
26.0,752.0,995.0
28.0,912.0,863.0
26.0,942.0,661.0
17.0,1093.0,623.0
37.0,1182.0,520.0
27.0,1299.0,427.0
27.0,1479.0,337.0
36.0,1572.0,305.0
38.0,1809.0,247.0
27.0,1877.0,190.0
31.0,2191.0,139.0
37.0,2444.0,95.0
39.0,2602.0,99.0
27.0,2860.0,78.0
34.0,3050.0,62.0
48.0,3530.0,36.0
49.0,3600.0,32.0
52.0,3927.0,22.0
46.0,4152.0,16.0
54.0,4602.0,11.0
56.0,4982.0,15.0
46.0,5241.0,4.0
51.0,5522.0,4.0
50.0,5701.0,2.0
66.0,6067.0,2.0
78.0,6236.0,0.0
82.0,6380.0,3.0
84.0,6735.0,1.0
90.0,6975.0,0.0
109.0,7279.0,0.0
111.0,8027.0,0.0
124.0,7650.0,0.0
184.0,8025.0,0.0
140.0,7945.0,0.0
215.0,8194.0,0.0
222.0,8129.0,0.0
241.0,8180.0,0.0
229.0,8178.0,0.0
265.0,8287.0,0.0
235.0,8279.0,0.0
313.0,8181.0,0.0
334.0,8420.0,0.0
386.0,8439.0,0.0
496.0,8852.0,0.0
515.0,8991.0,0.0
550.0,9317.0,0.0
611.0,10038.0,0.0
649.0,9542.0,0.0
698.0,10205.0,0.0
754.0,10231.0,0.0
762.0,10325.0,0.0
879.0,10179.0,0.0
910.0,9842.0,0.0
874.0,10014.0,0.0
921.0,10151.0,0.0
1093.0,10303.0,0.0
1152.0,10406.0,0.0
1228.0,10428.0,0.0
1325.0,10209.0,0.0
1374.0,9872.0,0.0
1533.0,9589.0,0.0
1636.0,9157.0,0.0
1901.0,9098.0,0.0
1865.0,8030.0,0.0
1948.0,7588.0,0.0
2146.0,7096.0,0.0
2205.0,6713.0,0.0
2432.0,6284.0,0.0
2604.0,5937.0,0.0
2661.0,5630.0,0.0
2794.0,5449.0,0.0
3029.0,5151.0,0.0
3247.0,5059.0,0.0
3396.0,4735.0,0.0
3564.0,4710.0,0.0
3881.0,4524.0,0.0
4147.0,4229.0,0.0
4462.0,4194.0,0.0
5052.0,4101.0,0.0
5107.0,3701.0,0.0
5507.0,3486.0,0.0
5783.0,3477.0,0.0
6063.0,3311.0,0.0
6423.0,3137.0,0.0
6712.0,2958.0,0.0
6948.0,2609.0,0.0
7257.0,2523.0,0.0
7243.0,2368.0,0.0
7503.0,2159.0,0.0
7282.0,1960.0,0.0
7517.0,1791.0,0.0
7350.0,1660.0,0.0
7342.0,1538.0,0.0
7503.0,1330.0,0.0
8264.0,1293.0,0.0
7951.0,1087.0,0.0
8318.0,945.0,0.0
8670.0,789.0,0.0
9161.0,658.0,0.0
9510.0,512.0,0.0
9924.0,529.0,0.0
10866.0,405.0,0.0
10971.0,342.0,0.0
11449.0,281.0,0.0
11543.0,201.0,0.0
11617.0,180.0,0.0
11894.0,141.0,0.0
11369.0,145.0,0.0
11685.0,108.0,0.0
11655.0,70.0,0.0
12494.0,37.0,0.0
11723.0,23.0,0.0
11515.0,24.0,0.0
10858.0,8.0,0.0
10500.0,12.0,0.0
10130.0,5.0,0.0
9251.0,1.0,0.0
8833.0,1.0,0.0
8293.0,0.0,0.0
7971.0,0.0,0.0
7548.0,0.0,0.0
7219.0,0.0,0.0
6967.0,0.0,0.0
6519.0,0.0,0.0
6390.0,0.0,0.0
5946.0,0.0,0.0
5881.0,0.0,0.0
5173.0,0.0,0.0
4951.0,0.0,0.0
4445.0,0.0,0.0
4209.0,0.0,0.0
4031.0,0.0,0.0
3883.0,0.0,0.0
3524.0,0.0,0.0
3296.0,0.0,0.0
3131.0,0.0,0.0
2941.0,0.0,0.0
2693.0,0.0,0.0
2505.0,0.0,0.0
2174.0,0.0,0.0
1985.0,0.0,0.0
1854.0,0.0,0.0
1692.0,0.0,0.0
1397.0,0.0,0.0
1168.0,0.0,0.0
987.0,0.0,0.0
893.0,0.0,0.0
712.0,0.0,0.0
619.0,0.0,0.0
529.0,0.0,0.0
412.0,0.0,0.0
351.0,0.0,0.0
294.0,0.0,0.0
236.0,0.0,0.0
202.0,0.0,0.0
175.0,0.0,0.0
134.0,0.0,0.0
108.0,0.0,0.0
63.0,0.0,0.0
