Red,Green,Blue
0.0,134.0,261.0
261.0,127.0,44.0
5.0,120.0,357.0
162.0,294.0,212.0
252.0,199.0,11.0
186.0,11.0,0.0
19.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,3.0
0.0,0.0,11.0
0.0,0.0,28.0
0.0,0.0,121.0
0.0,2.0,207.0
0.0,3.0,171.0
0.0,6.0,82.0
0.0,13.0,54.0
0.0,24.0,45.0
0.0,48.0,42.0
2.0,87.0,24.0
2.0,125.0,14.0
9.0,188.0,11.0
7.0,136.0,2.0
29.0,40.0,0.0
43.0,36.0,1.0
55.0,49.0,0.0
62.0,25.0,0.0
96.0,13.0,0.0
147.0,9.0,3.0
160.0,3.0,0.0
59.0,0.0,4.0
29.0,0.0,2.0
30.0,0.0,4.0
35.0,0.0,6.0
25.0,0.0,5.0
12.0,0.0,4.0
5.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,7.0
0.0,0.0,13.0
0.0,0.0,3.0
0.0,0.0,6.0
0.0,0.0,17.0
0.0,0.0,17.0
0.0,0.0,10.0
0.0,0.0,15.0
0.0,0.0,20.0
0.0,0.0,17.0
0.0,0.0,23.0
0.0,0.0,18.0
0.0,0.0,27.0
0.0,0.0,29.0
0.0,0.0,36.0
0.0,0.0,38.0
0.0,0.0,45.0
0.0,0.0,43.0
0.0,0.0,42.0
0.0,0.0,65.0
0.0,0.0,75.0
0.0,0.0,73.0
0.0,0.0,85.0
0.0,0.0,65.0
0.0,0.0,90.0
0.0,0.0,101.0
0.0,0.0,134.0
0.0,0.0,128.0
0.0,0.0,138.0
0.0,1.0,147.0
0.0,0.0,175.0
0.0,1.0,207.0
0.0,0.0,197.0
0.0,0.0,258.0
0.0,0.0,277.0
0.0,2.0,320.0
0.0,0.0,345.0
0.0,1.0,423.0
0.0,1.0,443.0
0.0,2.0,543.0
0.0,2.0,589.0
0.0,5.0,727.0
0.0,7.0,1183.0
0.0,4.0,1038.0
0.0,4.0,1258.0
0.0,10.0,1611.0
0.0,6.0,2015.0
0.0,3.0,2303.0
0.0,4.0,2826.0
0.0,8.0,3598.0
0.0,9.0,5457.0
0.0,4.0,6108.0
0.0,14.0,5470.0
0.0,15.0,7559.0
0.0,21.0,7191.0
0.0,15.0,7820.0
0.0,13.0,10460.0
0.0,9.0,7437.0
0.0,17.0,16007.0
0.0,11.0,6539.0
0.0,19.0,7511.0
0.0,10.0,6355.0
0.0,10.0,7412.0
0.0,14.0,9328.0
0.0,14.0,7999.0
0.0,20.0,9282.0
0.0,27.0,9230.0
0.0,27.0,9470.0
1.0,19.0,9575.0
0.0,19.0,12067.0
2.0,26.0,11549.0
0.0,23.0,11314.0
3.0,37.0,11447.0
0.0,26.0,11696.0
1.0,25.0,17049.0
4.0,42.0,8993.0
1.0,45.0,12289.0
3.0,49.0,10304.0
6.0,43.0,9992.0
2.0,50.0,12253.0
6.0,40.0,10977.0
7.0,37.0,11701.0
6.0,58.0,12699.0
4.0,63.0,10345.0
5.0,65.0,11705.0
6.0,68.0,10521.0
6.0,66.0,10563.0
9.0,78.0,8367.0
10.0,81.0,9177.0
14.0,82.0,15205.0
15.0,72.0,6441.0
12.0,86.0,6184.0
9.0,95.0,4156.0
10.0,122.0,7364.0
13.0,104.0,4792.0
19.0,115.0,5167.0
11.0,137.0,3698.0
20.0,166.0,5915.0
11.0,199.0,3359.0
18.0,250.0,3139.0
17.0,277.0,5057.0
9.0,329.0,3587.0
19.0,409.0,2496.0
20.0,510.0,3725.0
17.0,614.0,2530.0
25.0,900.0,4826.0
22.0,685.0,3173.0
19.0,1213.0,4127.0
24.0,872.0,3406.0
33.0,1219.0,3387.0
30.0,1041.0,4788.0
21.0,1103.0,2911.0
33.0,1997.0,2656.0
32.0,1903.0,3110.0
27.0,2191.0,4400.0
31.0,1735.0,3191.0
27.0,2166.0,2422.0
31.0,1920.0,2834.0
28.0,2707.0,4672.0
33.0,2636.0,2567.0
32.0,2229.0,1582.0
32.0,4157.0,1884.0
37.0,3094.0,1276.0
42.0,3688.0,1132.0
37.0,3824.0,2022.0
47.0,4491.0,238.0
57.0,4789.0,676.0
55.0,4653.0,307.0
46.0,5971.0,182.0
47.0,6776.0,191.0
57.0,4234.0,201.0
66.0,4702.0,561.0
44.0,6534.0,290.0
66.0,5722.0,155.0
42.0,5074.0,367.0
55.0,5846.0,432.0
66.0,6798.0,107.0
57.0,10496.0,13.0
56.0,7540.0,41.0
60.0,8883.0,0.0
66.0,10937.0,0.0
66.0,8783.0,0.0
86.0,10931.0,0.0
88.0,7867.0,0.0
91.0,6985.0,0.0
102.0,7593.0,0.0
120.0,8325.0,0.0
114.0,8681.0,0.0
127.0,8232.0,0.0
150.0,8418.0,0.0
193.0,6459.0,0.0
213.0,10083.0,0.0
230.0,12298.0,0.0
290.0,12059.0,0.0
356.0,9209.0,0.0
402.0,11937.0,0.0
498.0,10025.0,0.0
575.0,8478.0,0.0
820.0,10112.0,0.0
808.0,9747.0,0.0
822.0,11970.0,0.0
1061.0,10324.0,0.0
806.0,12239.0,0.0
1032.0,11807.0,0.0
1000.0,14775.0,0.0
1202.0,12310.0,0.0
1600.0,13240.0,0.0
1718.0,11040.0,0.0
1465.0,7429.0,0.0
2077.0,12848.0,0.0
2608.0,3711.0,0.0
2182.0,5796.0,0.0
2161.0,4936.0,0.0
2688.0,5629.0,0.0
2618.0,4149.0,0.0
2570.0,4552.0,0.0
4005.0,4141.0,0.0
2664.0,4707.0,0.0
3611.0,4043.0,0.0
3542.0,5358.0,0.0
4439.0,3992.0,0.0
4696.0,5671.0,0.0
5665.0,3693.0,0.0
4152.0,5461.0,0.0
5400.0,2616.0,0.0
8522.0,3916.0,0.0
4741.0,2733.0,0.0
5878.0,3283.0,0.0
4978.0,3383.0,0.0
6433.0,3728.0,0.0
6229.0,3090.0,0.0
6354.0,1446.0,0.0
7621.0,2277.0,0.0
9096.0,2297.0,0.0
8676.0,2430.0,0.0
9812.0,1253.0,0.0
9410.0,1406.0,0.0
7148.0,2233.0,0.0
9598.0,678.0,0.0
6520.0,942.0,0.0
6154.0,266.0,0.0
8402.0,440.0,0.0
6254.0,425.0,0.0
7268.0,379.0,0.0
7641.0,140.0,0.0
8192.0,200.0,0.0
8179.0,198.0,0.0
9502.0,297.0,0.0
9571.0,389.0,0.0
12536.0,0.0,0.0
12078.0,0.0,0.0
13394.0,0.0,0.0
14730.0,0.0,0.0
16663.0,0.0,0.0
23315.0,0.0,0.0
24118.0,0.0,0.0
34076.0,0.0,0.0
144070.0,0.0,0.0
