,BlockSize,Red,Green,Blue,BlockSize,Red,Green,Blue,BlockSize,Red,Green,Blue
0,5,0,134,261,45,0,134,261,original,0,134,261
1,,515,224,113,,261,127,44,,261,127,44
2,,12,328,852,,5,120,357,,5,120,357
3,,466,665,394,,162,294,212,,162,294,212
4,,502,310,16,,252,199,11,,252,199,11
5,,275,12,0,,186,11,0,,186,11,0
6,,21,0,0,,19,0,0,,19,0,0
7,,0,0,0,,0,0,0,,0,0,0
8,,0,0,3,,0,0,1,,0,0,1
9,,0,0,0,,0,0,3,,0,0,3
10,,0,0,16,,0,0,11,,0,0,11
11,,0,0,36,,0,0,28,,0,0,28
12,,0,0,216,,0,0,121,,0,0,121
13,,0,1,335,,0,2,207,,0,2,207
14,,0,7,265,,0,3,171,,0,3,171
15,,0,7,77,,0,6,82,,0,6,82
16,,0,20,48,,0,13,54,,0,13,54
17,,0,30,40,,0,24,45,,0,24,45
18,,0,89,44,,0,48,42,,0,48,42
19,,1,154,23,,2,87,24,,2,87,24
20,,1,230,13,,2,125,14,,2,125,14
21,,10,327,18,,9,188,11,,9,188,11
22,,10,158,2,,7,136,2,,7,136,2
23,,44,31,0,,29,40,0,,29,40,0
24,,65,18,1,,43,36,1,,43,36,1
25,,82,27,0,,55,49,0,,55,49,0
26,,74,19,0,,62,25,0,,62,25,0
27,,176,8,0,,96,13,0,,96,13,0
28,,236,9,12,,147,9,3,,147,9,3
29,,245,2,0,,160,3,0,,160,3,0
30,,43,0,14,,59,0,4,,59,0,4
31,,21,0,1,,29,0,2,,29,0,2
32,,17,0,11,,30,0,4,,30,0,4
33,,19,0,11,,35,0,6,,35,0,6
34,,17,0,8,,25,0,5,,25,0,5
35,,9,0,8,,12,0,4,,12,0,4
36,,3,0,17,,5,0,5,,5,0,5
37,,0,0,8,,0,0,5,,0,0,5
38,,0,0,18,,0,0,7,,0,0,7
39,,0,0,53,,0,0,13,,0,0,13
40,,0,0,2,,0,0,3,,0,0,3
41,,0,0,16,,0,0,6,,0,0,6
42,,0,0,63,,0,0,17,,0,0,17
43,,0,0,26,,0,0,17,,0,0,17
44,,0,0,8,,0,0,10,,0,0,10
45,,0,0,39,,0,0,15,,0,0,15
46,,0,0,35,,0,0,20,,0,0,20
47,,0,0,70,,0,0,17,,0,0,17
48,,0,0,44,,0,0,23,,0,0,23
49,,0,0,23,,0,0,18,,0,0,18
50,,0,0,50,,0,0,27,,0,0,27
51,,0,0,67,,0,0,29,,0,0,29
52,,0,0,77,,0,0,36,,0,0,36
53,,0,0,77,,0,0,38,,0,0,38
54,,0,0,68,,0,0,45,,0,0,45
55,,0,0,75,,0,0,43,,0,0,43
56,,0,0,68,,0,0,42,,0,0,42
57,,0,0,110,,0,0,65,,0,0,65
58,,0,0,162,,0,0,75,,0,0,75
59,,0,0,141,,0,0,73,,0,0,73
60,,0,0,143,,0,0,85,,0,0,85
61,,0,0,115,,0,0,65,,0,0,65
62,,0,0,166,,0,0,90,,0,0,90
63,,0,0,188,,0,0,101,,0,0,101
64,,0,0,276,,0,0,134,,0,0,134
65,,0,0,202,,0,0,128,,0,0,128
66,,0,0,270,,0,0,138,,0,0,138
67,,0,2,268,,0,1,147,,0,1,147
68,,0,0,287,,0,0,175,,0,0,175
69,,0,0,348,,0,1,207,,0,1,207
70,,0,0,309,,0,0,197,,0,0,197
71,,0,0,441,,0,0,258,,0,0,258
72,,0,0,446,,0,0,277,,0,0,277
73,,0,0,531,,0,2,320,,0,2,320
74,,0,0,566,,0,0,345,,0,0,345
75,,0,1,709,,0,1,423,,0,1,423
76,,0,2,757,,0,1,443,,0,1,443
77,,0,2,826,,0,2,543,,0,2,543
78,,0,8,865,,0,2,589,,0,2,589
79,,0,10,1109,,0,5,727,,0,5,727
80,,0,2,1441,,0,7,1183,,0,7,933
81,,0,7,1499,,0,4,1038,,0,4,1040
82,,0,6,1801,,0,4,1258,,0,4,1254
83,,0,18,2026,,0,10,1611,,0,10,1529
84,,0,12,2525,,0,6,2015,,0,6,1862
85,,0,5,2814,,0,3,2303,,0,3,2149
86,,0,6,3341,,0,4,2826,,0,4,2574
87,,0,5,3825,,0,8,3598,,0,8,2984
88,,0,14,4468,,0,9,5457,,0,9,3507
89,,0,2,4986,,0,4,6108,,0,4,4031
90,,0,20,5802,,0,14,5470,,0,14,4638
91,,0,22,6688,,0,15,7559,,0,15,5336
92,,0,37,6923,,0,21,7191,,0,21,5827
93,,0,15,7529,,0,15,7820,,0,15,6369
94,,0,19,8041,,0,13,10460,,0,13,6912
95,,0,18,8154,,0,9,7437,,0,9,7185
96,,0,36,9077,,0,17,16007,,0,17,8133
97,,0,9,8197,,0,11,6539,,0,11,7703
98,,0,15,8360,,0,19,7511,,0,19,7970
99,,0,22,8198,,0,10,6355,,0,10,7961
100,,0,12,8654,,0,10,7412,,0,10,8124
101,,0,7,8630,,0,14,9328,,0,14,8196
102,,0,11,8741,,0,14,7999,,0,14,8378
103,,0,27,9387,,0,20,9282,,0,20,8557
104,,0,47,9370,,0,27,9230,,0,27,8792
105,,0,12,9791,,0,27,9470,,0,27,9163
106,,0,16,10552,,1,19,9575,,1,19,9678
107,,0,11,10632,,0,19,12067,,0,19,9920
108,,0,31,11053,,2,26,11549,,2,26,10340
109,,0,29,10800,,0,23,11314,,0,23,10411
110,,2,59,11104,,3,37,11447,,3,37,10641
111,,0,21,11213,,0,26,11696,,0,26,10924
112,,1,24,12154,,1,25,17049,,1,25,11626
113,,12,56,10599,,4,42,8993,,4,42,10781
114,,1,58,11370,,1,45,12289,,1,45,11177
115,,1,65,10969,,3,49,10304,,3,49,11066
116,,16,48,10846,,6,43,9992,,6,43,11179
117,,4,81,10882,,2,50,12253,,2,50,11168
118,,1,44,11575,,6,40,10977,,6,40,11380
119,,10,33,11567,,7,37,11701,,7,37,11596
120,,5,77,11251,,6,58,12699,,6,58,11466
121,,3,83,10466,,4,63,10345,,4,63,11068
122,,15,76,10296,,5,65,11705,,5,65,10933
123,,6,79,10111,,6,68,10521,,6,68,10711
124,,10,103,9953,,6,66,10563,,6,66,10470
125,,24,79,9005,,9,78,8367,,9,78,9933
126,,15,108,8845,,10,81,9177,,10,81,9586
127,,29,112,9370,,14,82,15205,,14,82,9782
128,,31,65,7346,,15,72,6441,,15,72,8600
129,,15,119,7314,,12,86,6184,,12,86,8162
130,,17,119,6379,,9,95,4156,,9,95,7488
131,,9,170,6461,,10,122,7364,,10,122,7152
132,,16,147,5870,,13,104,4792,,13,104,6770
133,,27,109,5503,,19,115,5167,,19,115,6367
134,,18,164,4840,,11,137,3698,,11,137,5716
135,,38,195,5066,,20,166,5915,,20,166,5600
136,,5,256,4597,,11,199,3359,,11,199,5259
137,,19,374,4263,,18,250,3139,,18,250,5034
138,,9,379,4380,,17,277,5057,,17,277,4944
139,,12,470,3904,,9,329,3587,,9,329,4578
140,,18,578,3660,,19,409,2496,,19,409,4355
141,,26,720,4069,,20,510,3725,,20,510,4404
142,,13,792,3761,,17,614,2530,,17,574,4308
143,,16,762,4117,,25,900,4826,,25,648,4443
144,,25,928,3611,,22,685,3173,,22,719,4135
145,,23,1115,3904,,19,1213,4127,,19,873,4202
146,,22,1112,3542,,24,872,3406,,24,918,3952
147,,42,1106,3671,,33,1219,3387,,33,991,3931
148,,36,1453,3668,,30,1041,4788,,30,1148,4035
149,,30,1391,3423,,21,1103,2911,,21,1222,3916
150,,36,1755,3370,,33,1997,2656,,33,1420,3814
151,,47,1938,3214,,32,1903,3110,,32,1586,3681
152,,28,1992,3306,,27,2191,4400,,27,1687,3617
153,,23,2074,3046,,31,1735,3191,,31,1785,3403
154,,38,2391,3026,,27,2166,2422,,27,2066,3406
155,,37,2343,3042,,31,1920,2834,,31,2120,3296
156,,17,2758,2714,,28,2707,4672,,28,2320,3204
157,,39,2785,2328,,33,2636,2567,,33,2474,2841
158,,51,2845,2073,,32,2229,1582,,32,2523,2643
159,,30,3507,2336,,32,4157,1884,,32,3014,2663
160,,37,3550,1620,,37,3094,1276,,37,3040,2181
161,,49,3978,1546,,42,3688,1132,,42,3322,1998
162,,25,3959,1396,,37,3824,2022,,37,3481,1830
163,,33,4477,1060,,47,4491,238,,47,3816,1538
164,,60,4674,992,,57,4789,676,,57,4058,1397
165,,62,4748,862,,55,4653,307,,55,4250,1229
166,,34,5298,697,,46,5971,182,,46,4591,1036
167,,50,5448,530,,47,6776,191,,47,4802,857
168,,72,4920,538,,57,4234,201,,57,4766,762
169,,70,5692,527,,66,4702,561,,66,5119,722
170,,38,5756,427,,44,6534,290,,44,5291,629
171,,97,6103,452,,66,5722,155,,66,5508,583
172,,31,6456,385,,42,5074,367,,42,5749,523
173,,51,6819,270,,55,5846,432,,55,6087,414
174,,75,7061,197,,66,6798,107,,66,6378,352
