,BlockSize,Red,Green,Blue,BlockSize,Red,Green,Blue,BlockSize,Red,Green,Blue
0,original,0,0,8,5,0,0,8,45,0,0,8
1,,0,0,3,,0,0,9,,0,0,3
2,,0,0,11,,0,0,47,,0,0,11
3,,0,0,12,,0,0,47,,0,0,12
4,,0,0,10,,0,0,13,,0,0,10
5,,0,0,19,,0,0,41,,0,0,19
6,,0,0,24,,0,0,70,,0,0,24
7,,0,0,70,,0,0,237,,0,0,70
8,,0,0,118,,0,0,356,,0,0,118
9,,0,0,135,,0,0,369,,0,0,135
10,,0,1,85,,0,3,169,,0,1,85
11,,0,9,87,,0,34,161,,0,9,87
12,,0,42,142,,0,179,326,,0,42,142
13,,0,43,162,,0,140,312,,0,43,162
14,,0,58,150,,0,220,248,,0,58,150
15,,0,56,143,,0,163,240,,0,56,143
16,,15,42,133,,79,128,229,,15,42,133
17,,42,25,144,,168,77,250,,42,25,144
18,,40,21,152,,157,54,216,,40,21,152
19,,36,26,195,,160,51,325,,36,26,195
20,,44,37,202,,157,91,332,,44,37,202
21,,43,50,258,,116,120,385,,43,50,258
22,,29,42,248,,94,82,358,,29,42,248
23,,27,45,265,,86,84,381,,27,45,265
24,,21,73,257,,57,113,362,,21,73,257
25,,18,64,282,,50,119,423,,18,64,282
26,,22,54,264,,63,96,402,,22,54,264
27,,30,32,291,,73,36,433,,30,32,291
28,,19,29,270,,29,32,393,,19,29,270
29,,26,16,376,,59,24,567,,26,16,376
30,,28,14,395,,75,14,605,,28,14,395
31,,27,22,469,,59,36,708,,27,22,469
32,,41,48,505,,81,79,795,,41,48,505
33,,56,49,553,,128,70,786,,56,49,553
34,,38,62,723,,87,114,1125,,38,62,723
35,,27,70,794,,54,99,1135,,27,70,794
36,,33,111,964,,65,130,1282,,33,111,964
37,,35,97,1227,,58,126,1669,,35,97,1227
38,,30,113,1555,,48,164,2192,,30,113,1555
39,,17,91,2059,,25,98,2725,,17,91,2100
40,,12,84,2645,,18,86,3690,,12,84,2653
41,,12,69,3408,,12,69,4664,,12,69,3457
42,,23,61,4363,,24,90,5963,,23,61,5435
43,,26,55,5228,,40,65,6546,,26,55,7240
44,,32,37,5855,,49,39,7081,,32,37,7260
45,,39,27,6936,,70,20,8345,,39,27,9406
46,,38,16,7779,,69,13,9072,,38,16,10542
47,,61,22,8613,,103,15,9518,,61,22,11024
48,,55,17,9994,,82,12,11603,,55,17,15988
49,,64,21,10238,,83,15,11203,,64,21,10903
50,,67,13,10638,,90,5,11520,,67,13,10795
51,,70,14,11525,,94,7,12772,,70,14,12796
52,,67,12,12295,,64,6,13434,,67,12,14795
53,,82,38,12660,,106,33,13584,,82,38,12638
54,,78,28,12890,,101,24,13374,,78,28,11206
55,,54,35,13851,,59,22,14930,,54,35,15107
56,,49,41,14374,,63,27,15645,,49,41,17351
57,,38,31,14983,,39,20,15917,,38,31,16392
58,,37,50,15239,,28,37,16016,,37,50,16008
59,,35,45,16088,,25,35,16974,,35,45,16720
60,,32,58,16544,,30,51,17082,,32,58,17116
61,,21,62,17239,,30,55,17857,,21,62,18823
62,,24,60,17745,,28,45,18321,,24,60,21194
63,,12,65,17645,,12,64,17695,,12,65,17977
64,,20,70,18562,,27,53,19230,,20,70,25182
65,,16,78,17481,,24,73,17282,,16,78,17658
66,,14,65,16831,,8,56,16272,,14,65,16821
67,,12,50,16282,,8,34,15435,,12,50,18177
68,,14,62,15518,,5,51,14482,,14,62,12980
69,,18,51,14856,,21,40,14020,,18,51,13364
70,,17,46,14118,,14,47,13108,,17,46,14436
71,,19,45,13526,,23,41,12558,,19,45,14551
72,,20,54,12203,,10,41,10561,,20,54,8903
73,,17,64,11455,,7,44,9968,,17,64,10110
74,,21,53,10439,,13,40,8936,,21,53,7019
75,,20,53,9643,,17,33,8637,,20,53,9036
76,,26,49,9036,,23,32,7759,,26,49,7380
77,,24,55,8311,,14,70,6859,,24,55,6893
78,,21,51,7787,,11,57,6740,,21,51,4513
79,,22,66,7268,,22,103,6283,,22,66,4705
80,,46,57,7094,,40,65,6301,,46,57,8038
81,,37,49,6291,,29,38,5230,,37,49,4786
82,,43,64,5804,,43,95,4671,,43,64,4554
83,,46,55,5205,,41,60,4275,,46,55,4867
84,,42,79,4889,,29,80,4032,,42,79,3996
85,,43,69,4341,,34,70,3346,,43,69,3217
86,,45,94,3918,,36,118,3005,,45,94,2515
87,,42,119,3554,,25,121,2747,,42,119,2678
88,,62,123,3429,,50,139,2772,,62,123,2737
89,,50,146,2914,,37,166,2041,,50,146,1344
90,,56,192,2686,,49,270,1804,,56,192,1234
91,,56,216,2315,,53,267,1708,,56,216,592
92,,62,281,2001,,55,409,1462,,62,281,328
93,,62,358,1729,,68,460,1150,,62,358,259
94,,46,430,1493,,42,557,960,,46,814,378
95,,46,555,1320,,31,720,801,,46,569,331
96,,44,691,1181,,47,877,681,,44,966,362
97,,26,752,995,,25,901,616,,26,674,924
98,,28,912,863,,18,1095,435,,28,851,20
99,,26,942,661,,18,1044,402,,26,895,19
100,,17,1093,623,,11,1196,378,,17,1579,41
101,,37,1182,520,,23,1312,300,,37,1580,119
102,,27,1299,427,,21,1481,254,,27,1459,91
103,,27,1479,337,,12,1663,130,,27,1227,3
104,,36,1572,305,,26,1773,166,,36,1380,16
105,,38,1809,247,,28,2087,108,,38,1895,0
106,,27,1877,190,,15,2120,93,,27,1631,0
107,,31,2191,139,,34,2445,60,,31,2517,0
108,,37,2444,95,,32,2874,40,,37,2915,0
109,,39,2602,99,,26,2889,68,,39,2853,0
110,,27,2860,78,,22,3276,27,,27,3323,0
111,,34,3050,62,,32,3326,25,,34,2970,0
112,,48,3530,36,,32,3932,11,,48,4326,0
113,,49,3600,32,,33,3917,14,,49,3870,0
114,,52,3927,22,,62,4435,6,,52,5361,0
115,,46,4152,16,,46,4592,4,,46,4508,0
116,,54,4602,11,,54,5156,1,,54,4452,0
117,,56,4982,15,,43,5393,9,,56,5375,0
118,,46,5241,4,,38,5817,0,,46,7057,0
119,,51,5522,4,,40,5972,0,,51,6330,0
120,,50,5701,2,,50,6065,1,,50,6001,0
121,,66,6067,2,,68,6457,0,,66,7624,0
122,,78,6236,0,,82,6364,0,,78,7411,0
123,,82,6380,3,,86,6820,3,,82,6874,0
124,,84,6735,1,,80,7094,0,,84,6672,0
125,,90,6975,0,,76,7337,0,,90,7543,0
126,,109,7279,0,,106,7744,0,,109,6942,0
127,,111,8027,0,,120,8934,0,,111,14091,0
128,,124,7650,0,,135,7918,0,,124,6530,0
129,,184,8025,0,,179,8314,0,,184,8763,0
130,,140,7945,0,,125,8146,0,,140,7016,0
131,,215,8194,0,,259,8596,0,,215,8820,0
132,,222,8129,0,,295,8324,0,,222,7313,0
133,,241,8180,0,,259,8492,0,,241,7366,0
134,,229,8178,0,,239,8417,0,,229,7370,0
135,,265,8287,0,,259,8620,0,,265,8497,0
136,,235,8279,0,,219,8530,0,,235,8728,0
137,,313,8181,0,,337,8360,0,,313,7103,0
138,,334,8420,0,,402,9137,0,,334,8951,0
139,,386,8439,0,,466,8861,0,,386,8206,0
140,,496,8852,0,,595,9488,0,,496,9689,0
141,,515,8991,0,,590,9318,0,,1182,9526,0
142,,550,9317,0,,576,9751,0,,474,8946,0
143,,611,10038,0,,709,10941,0,,749,17366,0
144,,649,9542,0,,701,9841,0,,750,7817,0
145,,698,10205,0,,811,10523,0,,824,9289,0
146,,754,10231,0,,820,10670,0,,708,10882,0
147,,762,10325,0,,779,10590,0,,648,11515,0
148,,879,10179,0,,980,10070,0,,1130,9855,0
149,,910,9842,0,,970,9748,0,,784,7748,0
150,,874,10014,0,,885,9961,0,,749,8879,0
151,,921,10151,0,,933,10459,0,,817,9831,0
152,,1093,10303,0,,1215,10488,0,,1119,11677,0
153,,1152,10406,0,,1256,10570,0,,1152,12614,0
154,,1228,10428,0,,1330,10512,0,,1328,13957,0
155,,1325,10209,0,,1369,9979,0,,1236,10712,0
156,,1374,9872,0,,1524,9401,0,,1236,10676,0
157,,1533,9589,0,,1621,9169,0,,1520,9446,0
158,,1636,9157,0,,1703,8624,0,,2173,8985,0
159,,1901,9098,0,,2220,8658,0,,2643,11043,0
160,,1865,8030,0,,2024,7179,0,,1529,4585,0
161,,1948,7588,0,,2067,6891,0,,1696,7426,0
162,,2146,7096,0,,2323,6221,0,,2117,5230,0
163,,2205,6713,0,,2345,6114,0,,1934,6232,0
164,,2432,6284,0,,2791,5466,0,,3331,5058,0
165,,2604,5937,0,,2878,5141,0,,2688,4400,0
166,,2661,5630,0,,2807,5204,0,,2925,5039,0
167,,2794,5449,0,,2971,4865,0,,2661,4656,0
168,,3029,5151,0,,3328,4896,0,,4538,3769,0
169,,3247,5059,0,,3485,4680,0,,3077,4024,0
170,,3396,4735,0,,3506,4123,0,,3367,3329,0
171,,3564,4710,0,,3746,4282,0,,3361,4568,0
172,,3881,4524,0,,4327,4031,0,,3994,5028,0
173,,4147,4229,0,,4601,3669,0,,5597,2525,0
174,,4462,4194,0,,4978,3580,0,,3964,3902,0
175,,5052,4101,0,,5747,3775,0,,6476,4090,0
176,,5107,3701,0,,5543,3391,0,,4888,2386,0
177,,5507,3486,0,,5900,3101,0,,6571,2913,0
178,,5783,3477,0,,6240,3101,0,,6627,3137,0
179,,6063,3311,0,,6487,2831,0,,8144,3680,0
180,,6423,3137,0,,6948,2748,0,,6376,2985,0
181,,6712,2958,0,,7184,2508,0,,8495,2321,0
182,,6948,2609,0,,7351,1963,0,,7972,1351,0
183,,7257,2523,0,,7755,2113,0,,9753,1993,0
184,,7243,2368,0,,7774,1903,0,,7232,1802,0
185,,7503,2159,0,,7905,1635,0,,7451,1877,0
186,,7282,1960,0,,7494,1534,0,,6224,1105,0
187,,7517,1791,0,,7824,1402,0,,7660,2027,0
188,,7350,1660,0,,7429,1299,0,,5986,910,0
189,,7342,1538,0,,7687,1201,0,,6108,1015,0
190,,7503,1330,0,,8094,978,0,,7288,569,0
191,,8264,1293,0,,9054,926,0,,10473,848,0
192,,7951,1087,0,,8498,791,0,,7381,262,0
193,,8318,945,0,,8916,647,0,,8916,717,0
194,,8670,789,0,,9224,506,0,,9300,427,0
195,,9161,658,0,,10008,463,0,,9566,164,0
196,,9510,512,0,,10397,247,0,,10107,44,0
197,,9924,529,0,,10768,313,0,,8524,156,0
198,,10866,405,0,,12012,224,0,,14283,36,0
199,,10971,342,0,,11551,200,0,,12889,163,0
200,,11449,281,0,,12019,183,0,,13947,186,0
201,,11543,201,0,,11991,95,0,,10790,0,0
202,,11617,180,0,,11730,137,0,,11366,1,0
203,,11894,141,0,,11931,70,0,,12962,0,0
204,,11369,145,0,,11176,111,0,,9359,0,0
205,,11685,108,0,,11980,77,0,,11403,0,0
206,,11655,70,0,,11827,16,0,,10622,0,0
207,,12494,37,0,,13187,11,0,,22224,0,0
208,,11723,23,0,,11841,2,0,,12527,0,0
209,,11515,24,0,,11069,6,0,,11963,0,0
210,,10858,8,0,,10424,1,0,,10271,0,0
211,,10500,12,0,,9792,7,0,,8403,0,0
212,,10130,5,0,,9306,1,0,,10269,0,0
213,,9251,1,0,,8345,0,0,,6538,0,0
214,,8833,1,0,,8098,0,0,,9225,0,0
215,,8293,0,0,,7631,0,0,,7212,0,0
216,,7971,0,0,,7233,0,0,,8133,0,0
217,,7548,0,0,,6886,0,0,,6245,0,0
218,,7219,0,0,,6520,0,0,,6990,0,0
219,,6967,0,0,,6179,0,0,,5605,0,0
220,,6519,0,0,,6041,0,0,,4641,0,0
221,,6390,0,0,,5761,0,0,,6265,0,0
222,,5946,0,0,,5391,0,0,,4611,0,0
223,,5881,0,0,,5236,0,0,,7841,0,0
224,,5173,0,0,,4305,0,0,,3390,0,0
225,,4951,0,0,,4211,0,0,,3630,0,0
226,,4445,0,0,,3809,0,0,,3834,0,0
227,,4209,0,0,,3609,0,0,,2785,0,0
228,,4031,0,0,,3414,0,0,,3814,0,0
229,,3883,0,0,,3366,0,0,,2914,0,0
230,,3524,0,0,,2937,0,0,,3484,0,0
